onset_time,stim_type,stim_name,trial_length,stim_size,RGB,corrAns
2.5,1,nontarg,2.5,1.6,"[0.4596, 0.046, 0.286]",None
5.5,1,nontarg,3,1.6,"[0.4596, 0.046, 0.286]",None
8.75,2,bright,3.25,1.6,"[0.56, 0.22, 0.49]",None
11.75,1,nontarg,3,1.6,"[0.4596, 0.046, 0.286]",None
14.5,3,targ,2.75,3.6,"[0.4596, 0.046, 0.286]",1
17,1,nontarg,2.5,1.6,"[0.4596, 0.046, 0.286]",None
19.5,2,bright,2.5,1.6,"[0.56, 0.22, 0.49]",None
23,1,nontarg,3.5,1.6,"[0.4596, 0.046, 0.286]",None
25.75,1,nontarg,2.75,1.6,"[0.4596, 0.046, 0.286]",None
28.25,1,nontarg,2.5,1.6,"[0.4596, 0.046, 0.286]",None
31,1,nontarg,2.75,1.6,"[0.4596, 0.046, 0.286]",None
33.75,3,targ,2.75,3.6,"[0.4596, 0.046, 0.286]",1
36.75,1,nontarg,3,1.6,"[0.4596, 0.046, 0.286]",None
39.25,1,nontarg,2.5,1.6,"[0.4596, 0.046, 0.286]",None
42,1,nontarg,2.75,1.6,"[0.4596, 0.046, 0.286]",None
44.5,1,nontarg,2.5,1.6,"[0.4596, 0.046, 0.286]",None
47.25,2,bright,2.75,1.6,"[0.56, 0.22, 0.49]",None
49.75,3,targ,2.5,3.6,"[0.4596, 0.046, 0.286]",1
52.5,1,nontarg,2.75,1.6,"[0.4596, 0.046, 0.286]",None
55.75,1,nontarg,3.25,1.6,"[0.4596, 0.046, 0.286]",None
59.25,3,targ,3.5,3.6,"[0.4596, 0.046, 0.286]",1
61.75,2,bright,2.5,1.6,"[0.56, 0.22, 0.49]",None
64.5,1,nontarg,2.75,1.6,"[0.4596, 0.046, 0.286]",None
68,3,targ,3.5,3.6,"[0.4596, 0.046, 0.286]",1
71.5,2,bright,3.5,1.6,"[0.56, 0.22, 0.49]",None
74.25,1,nontarg,2.75,1.6,"[0.4596, 0.046, 0.286]",None
77.5,3,targ,3.25,3.6,"[0.4596, 0.046, 0.286]",1
80.495,1,nontarg,3.25,1.6,"[0.4596, 0.046, 0.286]",None
83.75,1,nontarg,3,1.6,"[0.4596, 0.046, 0.286]",None
87.25,3,targ,3.5,3.6,"[0.4596, 0.046, 0.286]",1
90,1,nontarg,2.75,1.6,"[0.4596, 0.046, 0.286]",None
93,1,nontarg,3,1.6,"[0.4596, 0.046, 0.286]",None
95.75,3,targ,2.75,3.6,"[0.4596, 0.046, 0.286]",1
99,1,nontarg,3.25,1.6,"[0.4596, 0.046, 0.286]",None
101.75,1,nontarg,2.75,1.6,"[0.4596, 0.046, 0.286]",None
104.75,3,targ,3,3.6,"[0.4596, 0.046, 0.286]",1
107.5,1,nontarg,2.75,1.6,"[0.4596, 0.046, 0.286]",None
110.495,2,bright,3.25,1.6,"[0.56, 0.22, 0.49]",None
114,3,targ,3.25,3.6,"[0.4596, 0.046, 0.286]",1
117.5,1,nontarg,3.5,1.6,"[0.4596, 0.046, 0.286]",None
120.495,1,nontarg,3.25,1.6,"[0.4596, 0.046, 0.286]",None
124,1,nontarg,3.25,1.6,"[0.4596, 0.046, 0.286]",None
127.5,1,nontarg,3.5,1.6,"[0.4596, 0.046, 0.286]",None
130.5,3,targ,3,3.6,"[0.4596, 0.046, 0.286]",1
133.5,1,nontarg,3,1.6,"[0.4596, 0.046, 0.286]",None
136.75,1,nontarg,3.25,1.6,"[0.4596, 0.046, 0.286]",None
140,3,targ,3.25,3.6,"[0.4596, 0.046, 0.286]",1
143,1,nontarg,3,1.6,"[0.4596, 0.046, 0.286]",None
145.5,2,bright,2.5,1.6,"[0.56, 0.22, 0.49]",None
148.75,3,targ,3.25,3.6,"[0.4596, 0.046, 0.286]",1
151.25,1,nontarg,2.5,1.6,"[0.4596, 0.046, 0.286]",None
154,1,nontarg,2.75,1.6,"[0.4596, 0.046, 0.286]",None
157,3,targ,3,3.6,"[0.4596, 0.046, 0.286]",1
160.25,2,bright,3.25,1.6,"[0.56, 0.22, 0.49]",None
163.25,1,nontarg,3,1.6,"[0.4596, 0.046, 0.286]",None
166.75,1,nontarg,3.5,1.6,"[0.4596, 0.046, 0.286]",None
169.75,3,targ,3,3.6,"[0.4596, 0.046, 0.286]",1
172.5,2,bright,2.75,1.6,"[0.56, 0.22, 0.49]",None
175.25,1,nontarg,2.75,1.6,"[0.4596, 0.046, 0.286]",None
178.5,1,nontarg,3.25,1.6,"[0.4596, 0.046, 0.286]",None
181.75,3,targ,3.25,3.6,"[0.4596, 0.046, 0.286]",1
184.75,2,bright,3,1.6,"[0.56, 0.22, 0.49]",None
187.25,1,nontarg,2.5,1.6,"[0.4596, 0.046, 0.286]",None
190,3,targ,2.75,3.6,"[0.4596, 0.046, 0.286]",1
192.75,2,bright,2.75,1.6,"[0.56, 0.22, 0.49]",None
196,1,nontarg,3.25,1.6,"[0.4596, 0.046, 0.286]",None
198.5,1,nontarg,2.5,1.6,"[0.4596, 0.046, 0.286]",None
201.75,3,targ,3.25,3.6,"[0.4596, 0.046, 0.286]",1
205,1,nontarg,3.25,1.6,"[0.4596, 0.046, 0.286]",None
208.5,2,bright,3.5,1.6,"[0.56, 0.22, 0.49]",None
212,1,nontarg,3.5,1.6,"[0.4596, 0.046, 0.286]",None
215.5,1,nontarg,3.5,1.6,"[0.4596, 0.046, 0.286]",None
218.75,3,targ,3.25,3.6,"[0.4596, 0.046, 0.286]",1
222.25,1,nontarg,3.5,1.6,"[0.4596, 0.046, 0.286]",None
225.5,2,bright,3.25,1.6,"[0.56, 0.22, 0.49]",None
229,3,targ,3.5,3.6,"[0.4596, 0.046, 0.286]",1
232.5,1,nontarg,3.5,1.6,"[0.4596, 0.046, 0.286]",None
235.75,1,nontarg,3.25,1.6,"[0.4596, 0.046, 0.286]",None
238.5,2,bright,2.75,1.6,"[0.56, 0.22, 0.49]",None
241.75,1,nontarg,3.25,1.6,"[0.4596, 0.046, 0.286]",None
244.25,1,nontarg,2.5,1.6,"[0.4596, 0.046, 0.286]",None
247.25,2,bright,3,1.6,"[0.56, 0.22, 0.49]",None
250.5,1,nontarg,3.25,1.6,"[0.4596, 0.046, 0.286]",None
253.25,1,nontarg,2.75,1.6,"[0.4596, 0.046, 0.286]",None
256.75,2,bright,3.5,1.6,"[0.56, 0.22, 0.49]",None
259.25,3,targ,2.5,3.6,"[0.4596, 0.046, 0.286]",1
262,1,nontarg,2.75,1.6,"[0.4596, 0.046, 0.286]",None
265,1,nontarg,3,1.6,"[0.4596, 0.046, 0.286]",None
268.5,1,nontarg,3.5,1.6,"[0.4596, 0.046, 0.286]",None
271,1,nontarg,2.5,1.6,"[0.4596, 0.046, 0.286]",None
273.5,2,bright,2.5,1.6,"[0.56, 0.22, 0.49]",None
276.5,1,nontarg,3,1.6,"[0.4596, 0.046, 0.286]",None
279,1,nontarg,2.5,1.6,"[0.4596, 0.046, 0.286]",None
281.75,2,bright,2.75,1.6,"[0.56, 0.22, 0.49]",None
285,1,nontarg,3.25,1.6,"[0.4596, 0.046, 0.286]",None
288.5,1,nontarg,3.5,1.6,"[0.4596, 0.046, 0.286]",None
292,2,bright,3.5,1.6,"[0.56, 0.22, 0.49]",None
295,1,nontarg,3,1.6,"[0.4596, 0.046, 0.286]",None
298,3,targ,3,3.6,"[0.4596, 0.046, 0.286]",1
301.25,1,nontarg,3.25,1.6,"[0.4596, 0.046, 0.286]",None
304.75,1,nontarg,3.5,1.6,"[0.4596, 0.046, 0.286]",None
308.25,3,targ,3.5,3.6,"[0.4596, 0.046, 0.286]",1
310.495,1,nontarg,2.5,1.6,"[0.4596, 0.046, 0.286]",None
314.25,1,nontarg,3.5,1.6,"[0.4596, 0.046, 0.286]",None
316.75,3,targ,2.5,3.6,"[0.4596, 0.046, 0.286]",1
319.5,1,nontarg,2.75,1.6,"[0.4596, 0.046, 0.286]",None
322,1,nontarg,2.5,1.6,"[0.4596, 0.046, 0.286]",None
324.75,1,nontarg,2.75,1.6,"[0.4596, 0.046, 0.286]",None
